solute,date,value1,value2,value3,value4,value5,value6
NH4,  3 May 1991, 0.22657,0.18524,0.13114,0.07864,0.06336,0.04507
NH4,  4 May 1991, 0.24884,0.18596,0.13147,0.07762,0.06215,0.04493
NH4,  5 May 1991, 0.26435,0.18708,0.13176,0.07636,0.06084,0.04477
NH4,  6 May 1991, 0.27740,0.18854,0.13206,0.07493,0.05948,0.04458
NH4,  7 May 1991, 0.27162,0.19017,0.13123,0.07315,0.05795,0.04435
NH4,  8 May 1991, 0.28712,0.19045,0.12908,0.07097,0.05622,0.04407
NH4,  9 May 1991, 0.31219,0.18927,0.12662,0.06896,0.05466,0.04385
NH4, 10 May 1991, 0.32219,0.18798,0.12464,0.06737,0.05339,0.04368
NH4, 11 May 1991, 0.32555,0.18527,0.12223,0.06576,0.05218,0.04354
NH4, 12 May 1991, 0.32225,0.18211,0.11997,0.06434,0.05111,0.04344
NH4, 13 May 1991, 0.30530,0.17777,0.11716,0.06275,0.04999,0.04334
NH4, 14 May 1991, 0.28854,0.17354,0.11444,0.06123,0.04887,0.04319
NH4, 15 May 1991, 0.26485,0.16816,0.11101,0.05943,0.04760,0.04301
NH4, 16 May 1991, 0.24215,0.16227,0.10736,0.05756,0.04630,0.04282
NH4, 17 May 1991, 0.21772,0.15623,0.10370,0.05573,0.04502,0.04262
NH4, 18 May 1991, 0.19148,0.15005,0.10001,0.05391,0.04376,0.04241
NH4, 19 May 1991, 0.15927,0.14370,0.09627,0.05210,0.04250,0.04220
NH4, 20 May 1991, 0.18118,0.13810,0.09261,0.05034,0.04129,0.04200
NH4, 21 May 1991, 0.18564,0.14659,0.08980,0.04872,0.04018,0.04185
NH4, 22 May 1991, 0.14489,0.15304,0.09513,0.04746,0.03925,0.04169
NH4, 23 May 1991, 0.10066,0.15353,0.09981,0.04696,0.03832,0.04153
NH4, 24 May 1991, 0.07732,0.14946,0.10320,0.04843,0.03751,0.04135
NH4, 25 May 1991, 0.07903,0.14474,0.10541,0.05176,0.03670,0.04115
NH4, 26 May 1991, 0.09181,0.14375,0.10750,0.05606,0.03592,0.04090
NH4, 27 May 1991, 0.12266,0.14515,0.10934,0.05978,0.03522,0.04065
NH4, 28 May 1991, 0.14028,0.14734,0.11070,0.06283,0.03453,0.04041
NH4, 29 May 1991, 0.14856,0.15109,0.11251,0.06553,0.03394,0.04017
NH4, 30 May 1991, 0.16235,0.15430,0.11391,0.06774,0.03337,0.03994
NH4, 31 May 1991, 0.18788,0.15706,0.11538,0.06967,0.03291,0.03975
NH4,  1 Jun 1991, 0.21012,0.15934,0.11657,0.07130,0.03247,0.03956
NH4,  2 Jun 1991, 0.21306,0.16136,0.11747,0.07266,0.03201,0.03937
NH4,  3 Jun 1991, 0.20017,0.16407,0.11882,0.07410,0.03159,0.03917
NH4,  4 Jun 1991, 0.21760,0.16679,0.12017,0.07544,0.03120,0.03896
NH4,  5 Jun 1991, 0.23738,0.16921,0.12130,0.07648,0.03082,0.03876
NH4,  6 Jun 1991, 0.23223,0.17146,0.12235,0.07718,0.03046,0.03857
NH4,  7 Jun 1991, 0.18884,0.17152,0.12311,0.07807,0.03016,0.03841
NH4,  8 Jun 1991, 0.12963,0.16996,0.12311,0.07883,0.02987,0.03826
NH4,  9 Jun 1991, 0.06830,0.15684,0.12201,0.07970,0.02972,0.03810
NH4, 10 Jun 1991, 0.06893,0.13605,0.11861,0.07966,0.03134,0.03793
NH4, 11 Jun 1991, 0.06653,0.11385,0.11403,0.07916,0.03607,0.03778
NH4, 12 Jun 1991, 0.05494,0.09117,0.10659,0.07764,0.04003,0.03770
NH4, 13 Jun 1991, 0.06392,0.07151,0.09906,0.07605,0.04340,0.03869
NH4, 14 Jun 1991, 0.06797,0.05345,0.08789,0.07403,0.04603,0.04013
NH4, 15 Jun 1991, 0.06808,0.04544,0.07883,0.07175,0.04808,0.04138
NH4, 16 Jun 1991, 0.07189,0.04599,0.07289,0.06945,0.04979,0.04225
NH4, 17 Jun 1991, 0.08009,0.05188,0.07041,0.06752,0.05139,0.04291
NH4, 18 Jun 1991, 0.09630,0.05877,0.07042,0.06642,0.05290,0.04343
NH4, 19 Jun 1991, 0.11367,0.06464,0.07117,0.06561,0.05419,0.04388
NH4, 20 Jun 1991, 0.09993,0.07096,0.07285,0.06524,0.05549,0.04433
NH4, 21 Jun 1991, 0.06001,0.07698,0.07484,0.06509,0.05675,0.04480
NH4, 22 Jun 1991, 0.06620,0.08224,0.07693,0.06512,0.05797,0.04529
NH4, 23 Jun 1991, 0.05510,0.08735,0.07917,0.06532,0.05920,0.04583
NH4, 24 Jun 1991, 0.06505,0.09267,0.08159,0.06557,0.06043,0.04642
NH4, 25 Jun 1991, 0.07286,0.09856,0.08467,0.06638,0.06193,0.04707
NH4, 26 Jun 1991, 0.07776,0.10393,0.08741,0.06700,0.06333,0.04773
NH4, 27 Jun 1991, 0.10749,0.10878,0.08986,0.06758,0.06460,0.04840
NH4, 28 Jun 1991, 0.11246,0.11364,0.09226,0.06819,0.06583,0.04905
NH4, 29 Jun 1991, 0.11244,0.11746,0.09419,0.06867,0.06692,0.04967
NH4, 30 Jun 1991, 0.07915,0.11954,0.09577,0.06910,0.06790,0.05022
NH4,  1 Jul 1991, 0.08797,0.11952,0.09682,0.06936,0.06877,0.05072
NH4,  2 Jul 1991, 0.09676,0.11983,0.09790,0.06969,0.06965,0.05119
NH4,  3 Jul 1991, 0.07779,0.12032,0.09884,0.06993,0.07045,0.05162
NH4,  4 Jul 1991, 0.08386,0.12075,0.09951,0.07005,0.07114,0.05202
NH4,  5 Jul 1991, 0.07877,0.12053,0.09978,0.06995,0.07167,0.05238
NH4,  6 Jul 1991, 0.06004,0.11862,0.09980,0.06980,0.07214,0.05271
NH4,  7 Jul 1991, 0.07205,0.11628,0.09977,0.06970,0.07262,0.05303
NH4,  8 Jul 1991, 0.07228,0.11274,0.09910,0.06931,0.07293,0.05330
NH4,  9 Jul 1991, 0.04721,0.10937,0.09826,0.06889,0.07317,0.05356
NH4, 10 Jul 1991, 0.02736,0.10072,0.09564,0.06781,0.07309,0.05371
NH4, 11 Jul 1991, 0.02650,0.08549,0.09190,0.06612,0.07264,0.05368
NH4, 12 Jul 1991, 0.02907,0.05317,0.07886,0.06358,0.07209,0.05349
NH4, 13 Jul 1991, 0.03206,0.03483,0.06803,0.05954,0.07131,0.05318
NH4, 14 Jul 1991, 0.03519,0.02526,0.05921,0.05602,0.07037,0.05280
NH4, 15 Jul 1991, 0.03957,0.02283,0.05287,0.05338,0.06946,0.05237
NH4, 16 Jul 1991, 0.04197,0.02377,0.04889,0.05140,0.06863,0.05195
NH4, 17 Jul 1991, 0.05168,0.02615,0.04677,0.04990,0.06793,0.05161
NH4, 18 Jul 1991, 0.05707,0.03005,0.04626,0.04885,0.06730,0.05132
NH4, 19 Jul 1991, 0.04660,0.03532,0.04726,0.04846,0.06693,0.05109
NH4, 20 Jul 1991, 0.04950,0.04118,0.04910,0.04845,0.06671,0.05096
NH4, 21 Jul 1991, 0.05574,0.04695,0.05132,0.04873,0.06668,0.05093
NH4, 22 Jul 1991, 0.05121,0.05242,0.05375,0.04921,0.06677,0.05099
NH4, 23 Jul 1991, 0.06537,0.05746,0.05629,0.04989,0.06705,0.05113
NH4, 24 Jul 1991, 0.06430,0.06075,0.05817,0.05033,0.06725,0.05132
NH4, 25 Jul 1991, 0.05223,0.06317,0.05966,0.05062,0.06742,0.05155
NH4, 26 Jul 1991, 0.06446,0.06536,0.06106,0.05100,0.06769,0.05180
NH4, 27 Jul 1991, 0.07502,0.06719,0.06222,0.05128,0.06791,0.05207
NH4, 28 Jul 1991, 0.06410,0.06910,0.06331,0.05151,0.06808,0.05234
NH4, 29 Jul 1991, 0.03837,0.07172,0.06476,0.05197,0.06838,0.05263
NH4, 30 Jul 1991, 0.04030,0.07430,0.06600,0.05225,0.06849,0.05291
NH4, 31 Jul 1991, 0.04052,0.07715,0.06755,0.05281,0.06884,0.05317
NH4,  1 Aug 1991, 0.04698,0.08084,0.06956,0.05365,0.06935,0.05344
NH4,  2 Aug 1991, 0.05952,0.08440,0.07145,0.05441,0.06979,0.05370
NH4,  3 Aug 1991, 0.06641,0.08783,0.07326,0.05514,0.07021,0.05395
NH4,  4 Aug 1991, 0.05738,0.09169,0.07509,0.05582,0.07050,0.05419
NH4,  5 Aug 1991, 0.05344,0.09470,0.07660,0.05632,0.07055,0.05442
NH4,  6 Aug 1991, 0.05859,0.09670,0.07782,0.05684,0.07062,0.05464
NH4,  7 Aug 1991, 0.05761,0.09238,0.07868,0.05763,0.07105,0.05485
NH4,  8 Aug 1991, 0.05914,0.08630,0.07835,0.05788,0.07135,0.05504
NH4,  9 Aug 1991, 0.04498,0.07870,0.07738,0.05786,0.07167,0.05522
NH4, 10 Aug 1991, 0.04223,0.07372,0.07632,0.05774,0.07197,0.05538
NH4, 11 Aug 1991, 0.03969,0.07113,0.07532,0.05746,0.07212,0.05554
NH4, 12 Aug 1991, 0.04228,0.07041,0.07457,0.05706,0.07211,0.05567
NH4, 13 Aug 1991, 0.05116,0.07163,0.07414,0.05652,0.07178,0.05579
NH4, 14 Aug 1991, 0.05398,0.07447,0.07467,0.05641,0.07166,0.05590
NH4, 15 Aug 1991, 0.05285,0.07720,0.07528,0.05629,0.07148,0.05602
NH4, 16 Aug 1991, 0.07029,0.07999,0.07629,0.05643,0.07149,0.05616
NH4, 17 Aug 1991, 0.08771,0.08260,0.07742,0.05675,0.07168,0.05629
NH4, 18 Aug 1991, 0.08806,0.08477,0.07836,0.05700,0.07184,0.05641
NH4, 19 Aug 1991, 0.09317,0.08670,0.07888,0.05697,0.07176,0.05652
NH4, 20 Aug 1991, 0.06883,0.08935,0.07973,0.05715,0.07176,0.05664
NH4, 21 Aug 1991, 0.07034,0.09170,0.08021,0.05710,0.07155,0.05674
NH4, 22 Aug 1991, 0.05787,0.09401,0.08173,0.05777,0.07193,0.05684
NH4, 23 Aug 1991, 0.05753,0.09514,0.08275,0.05813,0.07203,0.05693
NH4, 24 Aug 1991, 0.06722,0.09463,0.08289,0.05808,0.07183,0.05703
NH4, 25 Aug 1991, 0.05686,0.09394,0.08344,0.05846,0.07205,0.05712
NH4, 26 Aug 1991, 0.06865,0.09389,0.08394,0.05884,0.07225,0.05720
NH4, 27 Aug 1991, 0.07519,0.09410,0.08433,0.05922,0.07245,0.05728
NH4, 28 Aug 1991, 0.04909,0.09378,0.08388,0.05912,0.07228,0.05736
NH4, 29 Aug 1991, 0.05331,0.09112,0.08400,0.05953,0.07256,0.05743
NH4, 30 Aug 1991, 0.04571,0.08746,0.08339,0.05959,0.07275,0.05751
NH4, 31 Aug 1991, 0.04515,0.08388,0.08246,0.05938,0.07290,0.05758
NH4,  1 Sep 1991, 0.04501,0.07970,0.08128,0.05901,0.07300,0.05765
NH4,  2 Sep 1991, 0.05076,0.07728,0.08024,0.05859,0.07308,0.05772
NH4,  3 Sep 1991, 0.05489,0.07767,0.08001,0.05845,0.07323,0.05778
NH4,  4 Sep 1991, 0.07000,0.08044,0.08007,0.05820,0.07308,0.05782
NH4,  5 Sep 1991, 0.08801,0.08607,0.08175,0.05874,0.07327,0.05783
NH4,  6 Sep 1991, 0.10707,0.09318,0.08417,0.05961,0.07352,0.05778
NH4,  7 Sep 1991, 0.12038,0.10097,0.08659,0.06042,0.07357,0.05768
NH4,  8 Sep 1991, 0.11895,0.10827,0.08881,0.06120,0.07358,0.05757
NH4,  9 Sep 1991, 0.11323,0.11566,0.09163,0.06247,0.07401,0.05746
NH4, 10 Sep 1991, 0.15389,0.11931,0.09311,0.06308,0.07412,0.05742
NH4, 11 Sep 1991, 0.15265,0.12099,0.09379,0.06347,0.07423,0.05744
NH4, 12 Sep 1991, 0.10543,0.11547,0.09335,0.06357,0.07429,0.05749
NH4, 13 Sep 1991, 0.10044,0.10814,0.09250,0.06359,0.07447,0.05756
NH4, 14 Sep 1991, 0.07308,0.10214,0.09107,0.06322,0.07454,0.05763
NH4, 15 Sep 1991, 0.07153,0.09976,0.09003,0.06284,0.07458,0.05768
NH4, 16 Sep 1991, 0.08272,0.10025,0.08944,0.06246,0.07451,0.05771
NH4, 17 Sep 1991, 0.08587,0.10060,0.08901,0.06207,0.07435,0.05774
NH4, 18 Sep 1991, 0.08480,0.10198,0.08952,0.06223,0.07454,0.05777
NH4, 19 Sep 1991, 0.08095,0.10096,0.08938,0.06207,0.07456,0.05780
NH4, 20 Sep 1991, 0.07925,0.09960,0.08912,0.06188,0.07464,0.05785
NH4, 21 Sep 1991, 0.05958,0.09743,0.08799,0.06115,0.07438,0.05790
NH4, 22 Sep 1991, 0.06824,0.09782,0.08782,0.06092,0.07439,0.05795
NH4, 23 Sep 1991, 0.07499,0.09706,0.08766,0.06072,0.07441,0.05799
NH4, 24 Sep 1991, 0.08568,0.09741,0.08765,0.06054,0.07436,0.05800
NH4, 25 Sep 1991, 0.10364,0.10055,0.08840,0.06074,0.07445,0.05799
NH4, 26 Sep 1991, 0.08851,0.10302,0.08939,0.06121,0.07467,0.05796
NH4, 27 Sep 1991, 0.10345,0.10513,0.08979,0.06150,0.07472,0.05792
NH4, 28 Sep 1991, 0.11424,0.10216,0.08987,0.06190,0.07488,0.05787
NH4, 29 Sep 1991, 0.11906,0.09931,0.08929,0.06197,0.07494,0.05782
NH4, 30 Sep 1991, 0.12117,0.09950,0.08897,0.06196,0.07500,0.05777
NH4,  1 Oct 1991, 0.14219,0.10375,0.09001,0.06243,0.07523,0.05768
NH4,  2 Oct 1991, 0.14928,0.10936,0.09118,0.06273,0.07527,0.05752
NH4,  3 Oct 1991, 0.13738,0.11571,0.09281,0.06322,0.07504,0.05729
NH4,  4 Oct 1991, 0.10291,0.12231,0.09451,0.06384,0.07443,0.05699
NH4,  5 Oct 1991, 0.08518,0.12855,0.09610,0.06451,0.07344,0.05663
NH4,  6 Oct 1991, 0.22800,0.13395,0.09748,0.06513,0.07214,0.05625
NH4,  7 Oct 1991, 0.23549,0.13828,0.09867,0.06571,0.07080,0.05598
NH4,  8 Oct 1991, 0.20049,0.14165,0.09973,0.06623,0.06952,0.05583
NH4,  9 Oct 1991, 0.17672,0.14264,0.10063,0.06665,0.06837,0.05580
NH4, 10 Oct 1991, 0.12496,0.14133,0.10133,0.06698,0.06729,0.05584
NH4, 11 Oct 1991, 0.08372,0.13866,0.10195,0.06726,0.06621,0.05590
NH4, 12 Oct 1991, 0.02573,0.13496,0.10234,0.06713,0.06501,0.05595
NH4, 13 Oct 1991, 0.00000,0.13025,0.10175,0.06657,0.06364,0.05596
NH4, 14 Oct 1991, 0.00000,0.12441,0.10016,0.06558,0.06208,0.05593
NH4, 15 Oct 1991, 0.00000,0.11741,0.09753,0.06412,0.06033,0.05584
NH4, 16 Oct 1991, 0.00000,0.11036,0.09445,0.06246,0.05864,0.05578
NH4, 17 Oct 1991, 0.00000,0.10394,0.09140,0.06081,0.05716,0.05579
NH4, 18 Oct 1991, 0.00000,0.09783,0.08831,0.05913,0.05578,0.05582
NH4, 19 Oct 1991, 0.00000,0.09181,0.08510,0.05740,0.05444,0.05587
NH4, 20 Oct 1991, 0.00000,0.08596,0.08186,0.05565,0.05315,0.05592
NH4, 21 Oct 1991, 0.00000,0.07965,0.07821,0.05372,0.05175,0.05594
NH4, 22 Oct 1991, 0.00000,0.07315,0.07434,0.05168,0.05031,0.05595
NH4, 23 Oct 1991, 0.00000,0.06696,0.07057,0.04969,0.04891,0.05596
NH4, 24 Oct 1991, 0.20466,0.06153,0.06674,0.04761,0.04744,0.05594
NH4, 25 Oct 1991, 0.24111,0.06385,0.06319,0.04562,0.04602,0.05593
NH4, 26 Oct 1991, 0.27275,0.07150,0.06024,0.04387,0.04480,0.05596
NH4, 27 Oct 1991, 0.27779,0.07671,0.05760,0.04226,0.04368,0.05602
NH4, 28 Oct 1991, 0.29087,0.07949,0.05512,0.04072,0.04261,0.05608
NH4, 29 Oct 1991, 0.27366,0.08073,0.05268,0.03920,0.04155,0.05614
NH4, 30 Oct 1991, 0.24112,0.08319,0.05004,0.03753,0.04037,0.05616
NH4, 31 Oct 1991, 0.23386,0.08478,0.04732,0.03581,0.03914,0.05615
NH4,  1 Nov 1991, 0.29227,0.08488,0.04487,0.03424,0.03801,0.05616
NH4,  2 Nov 1991, 0.30809,0.08384,0.04256,0.03274,0.03693,0.05618
NH4,  3 Nov 1991, 0.28555,0.09683,0.04060,0.03113,0.03571,0.05613
NH4,  4 Nov 1991, 0.26882,0.10678,0.04031,0.02974,0.03464,0.05612
NH4,  5 Nov 1991, 0.24143,0.11160,0.04077,0.02845,0.03364,0.05613
NH4,  6 Nov 1991, 0.26874,0.11470,0.04124,0.02712,0.03260,0.05612
NH4,  7 Nov 1991, 0.29486,0.11791,0.04157,0.02583,0.03158,0.05609
NH4,  8 Nov 1991, 0.31437,0.12067,0.04172,0.02474,0.03070,0.05612
NH4,  9 Nov 1991, 0.28198,0.12325,0.04168,0.02376,0.02990,0.05616
NH4, 10 Nov 1991, 0.23259,0.12566,0.04146,0.02286,0.02916,0.05622
NH4, 11 Nov 1991, 0.19319,0.12685,0.04106,0.02204,0.02848,0.05628
NH4, 12 Nov 1991, 0.15558,0.12588,0.04050,0.02127,0.02782,0.05635
NH4, 13 Nov 1991, 0.11008,0.12327,0.03975,0.02048,0.02714,0.05640
NH4, 14 Nov 1991, 0.07715,0.11927,0.03884,0.01972,0.02648,0.05644
NH4, 15 Nov 1991, 0.04569,0.11420,0.03780,0.01899,0.02583,0.05644
NH4, 16 Nov 1991, 0.00500,0.10811,0.03662,0.01825,0.02517,0.05641
NH4, 17 Nov 1991, 0.00000,0.10136,0.03535,0.01756,0.02454,0.05635
NH4, 18 Nov 1991, 0.00000,0.09382,0.03396,0.01687,0.02390,0.05625
NH4, 19 Nov 1991, 0.00000,0.08493,0.03231,0.01613,0.02322,0.05610
NH4, 20 Nov 1991, 0.00000,0.07641,0.03073,0.01546,0.02259,0.05594
NH4, 21 Nov 1991, 0.00000,0.06838,0.02924,0.01486,0.02199,0.05577
NH4, 22 Nov 1991, 0.00000,0.06283,0.02774,0.01427,0.02142,0.05559
NH4, 23 Nov 1991, 0.00000,0.05941,0.02621,0.01371,0.02085,0.05538
NH4, 24 Nov 1991, 0.00000,0.05726,0.02489,0.01317,0.02030,0.05517
NH4, 25 Nov 1991, 0.00000,0.05606,0.02411,0.01279,0.01972,0.05490
NH4, 26 Nov 1991, 0.00000,0.05515,0.02401,0.01276,0.01898,0.05448
NH4, 27 Nov 1991, 0.00000,0.05432,0.02387,0.01268,0.01832,0.05409
NH4, 28 Nov 1991, 0.00000,0.05350,0.02360,0.01253,0.01775,0.05376
NH4, 29 Nov 1991, 0.00000,0.05270,0.02323,0.01231,0.01725,0.05347
NH4, 30 Nov 1991, 0.00000,0.05190,0.02265,0.01197,0.01685,0.05324
NH4,  1 Dec 1991, 0.00000,0.05111,0.02208,0.01163,0.01648,0.05302
NH4,  2 Dec 1991, 0.00000,0.05034,0.02158,0.01130,0.01612,0.05280
NH4,  3 Dec 1991, 0.00000,0.04959,0.02117,0.01103,0.01576,0.05256
NH4,  4 Dec 1991, 0.00000,0.04885,0.02077,0.01076,0.01542,0.05232
NH4,  5 Dec 1991, 0.00000,0.04813,0.02048,0.01056,0.01507,0.05205
NH4,  6 Dec 1991, 0.00000,0.04743,0.02025,0.01040,0.01472,0.05177
NH4,  7 Dec 1991, 0.00000,0.04674,0.02005,0.01026,0.01437,0.05148
NH4,  8 Dec 1991, 0.00000,0.04608,0.01990,0.01016,0.01402,0.05118
NH4,  9 Dec 1991, 0.00000,0.04543,0.01985,0.01013,0.01366,0.05084
NH4, 10 Dec 1991, 0.25919,0.07225,0.02181,0.01077,0.01406,0.04936
NH4, 11 Dec 1991, 0.35789,0.08938,0.03980,0.01126,0.01424,0.04831
NH4, 12 Dec 1991, 0.25002,0.09580,0.05250,0.01162,0.01424,0.04755
NH4, 13 Dec 1991, 0.20964,0.09621,0.06021,0.01459,0.01400,0.04706
NH4, 14 Dec 1991, 0.16473,0.09273,0.06465,0.02139,0.01353,0.04679
NH4, 15 Dec 1991, 0.16463,0.08482,0.06738,0.02749,0.01320,0.04657
NH4, 16 Dec 1991, 0.17502,0.08051,0.06895,0.03278,0.01298,0.04632
NH4, 17 Dec 1991, 0.20192,0.08289,0.07119,0.03749,0.01295,0.04605
NH4, 18 Dec 1991, 0.23753,0.08686,0.07324,0.04127,0.01351,0.04576
NH4, 19 Dec 1991, 0.24550,0.09307,0.07567,0.04455,0.01477,0.04546
NH4, 20 Dec 1991, 0.22765,0.09791,0.07788,0.04723,0.01646,0.04516
NH4, 21 Dec 1991, 0.25526,0.11009,0.08282,0.05086,0.01862,0.04481
NH4, 22 Dec 1991, 0.27766,0.11684,0.08597,0.05327,0.02113,0.04437
NH4, 23 Dec 1991, 0.31151,0.12443,0.08929,0.05577,0.02398,0.04371
NH4, 24 Dec 1991, 0.32552,0.13135,0.09226,0.05808,0.02676,0.04295
NH4, 25 Dec 1991, 0.25901,0.13717,0.09463,0.06006,0.02929,0.04212
NH4, 26 Dec 1991, 0.17041,0.14124,0.09596,0.06154,0.03149,0.04116
NH4, 27 Dec 1991, 0.07616,0.14256,0.09574,0.06230,0.03326,0.04001
NH4, 28 Dec 1991, 0.00000,0.14442,0.09605,0.06316,0.03474,0.03914
NH4, 29 Dec 1991, 0.00000,0.14793,0.09755,0.06445,0.03611,0.03864
NH4, 30 Dec 1991, 0.00000,0.15247,0.09987,0.06602,0.03741,0.03846
NH4, 31 Dec 1991, 0.21317,0.15341,0.10145,0.06754,0.03861,0.03826
NH4,  1 Jan 1992, 0.21283,0.15390,0.10234,0.06881,0.04029,0.03822
NH4,  2 Jan 1992, 0.22581,0.14795,0.10253,0.06971,0.04352,0.03816
NH4,  3 Jan 1992, 0.25610,0.14254,0.10191,0.07006,0.04878,0.03798
NH4,  4 Jan 1992, 0.33070,0.14084,0.10132,0.07020,0.05379,0.03776
NH4,  5 Jan 1992, 0.38555,0.14083,0.10076,0.07014,0.05792,0.03755
NH4,  6 Jan 1992, 0.40823,0.14168,0.10067,0.07018,0.06127,0.03745
NH4,  7 Jan 1992, 0.41526,0.14213,0.10064,0.07014,0.06393,0.03748
NH4,  8 Jan 1992, 0.40663,0.14221,0.10091,0.07030,0.06611,0.03766
NH4,  9 Jan 1992, 0.38677,0.14009,0.10023,0.07022,0.06769,0.03873
NH4, 10 Jan 1992, 0.33834,0.13573,0.09895,0.06998,0.06878,0.04070
NH4, 11 Jan 1992, 0.20390,0.12255,0.09681,0.06959,0.06950,0.04240
NH4, 12 Jan 1992, 0.22544,0.11211,0.09408,0.06889,0.06981,0.04386
NH4, 13 Jan 1992, 0.26953,0.11223,0.09206,0.06806,0.06971,0.04480
NH4, 14 Jan 1992, 0.34934,0.11922,0.09140,0.06716,0.06921,0.04519
NH4, 15 Jan 1992, 0.44962,0.12979,0.09226,0.06655,0.06855,0.04517
NH4, 16 Jan 1992, 0.51040,0.13865,0.09385,0.06630,0.06807,0.04506
NH4, 17 Jan 1992, 0.44675,0.14515,0.09579,0.06648,0.06798,0.04512
NH4, 18 Jan 1992, 0.37230,0.14983,0.09767,0.06696,0.06822,0.04537
NH4, 19 Jan 1992, 0.30289,0.15287,0.09895,0.06739,0.06861,0.04568
NH4, 20 Jan 1992, 0.25335,0.15359,0.09891,0.06719,0.06849,0.04591
NH4, 21 Jan 1992, 0.22041,0.15175,0.09727,0.06620,0.06775,0.04588
NH4, 22 Jan 1992, 0.41891,0.14588,0.09340,0.06392,0.06576,0.04507
NH4, 23 Jan 1992, 0.57155,0.13988,0.08963,0.06175,0.06387,0.04419
NH4, 24 Jan 1992, 0.65597,0.14444,0.08752,0.06147,0.06338,0.04381
NH4, 25 Jan 1992, 0.60542,0.14510,0.08646,0.06200,0.06406,0.04403
NH4, 26 Jan 1992, 0.41420,0.13192,0.08632,0.06275,0.06540,0.04473
NH4, 27 Jan 1992, 0.43344,0.12400,0.08633,0.06331,0.06652,0.04554
NH4, 28 Jan 1992, 0.48148,0.12353,0.08665,0.06364,0.06724,0.04616
NH4, 29 Jan 1992, 0.57080,0.12731,0.08756,0.06378,0.06755,0.04653
NH4, 30 Jan 1992, 0.60714,0.13347,0.08951,0.06430,0.06795,0.04679
NH4, 31 Jan 1992, 0.62458,0.13854,0.09133,0.06470,0.06811,0.04685
NH4,  1 Feb 1992, 0.64469,0.14185,0.09262,0.06491,0.06815,0.04696
NH4,  2 Feb 1992, 0.65466,0.14401,0.09374,0.06519,0.06823,0.04707
NH4,  3 Feb 1992, 0.63865,0.14444,0.09370,0.06488,0.06782,0.04700
