date,value1,value2,value3,value4,value5,value6
 1 Aug 1990, 0.17000,0.19000,0.20000,0.23000,0.27000,0.29000
 2 Aug 1990, 0.21103,0.20573,0.20507,0.22957,0.26902,0.29023
 3 Aug 1990, 0.25693,0.23345,0.21862,0.23208,0.26876,0.29057
 4 Aug 1990, 0.21633,0.23489,0.22822,0.23757,0.27094,0.29116
 5 Aug 1990, 0.22655,0.23908,0.23539,0.24267,0.27377,0.29267
 6 Aug 1990, 0.23216,0.24407,0.24185,0.24770,0.27710,0.29482
 7 Aug 1990, 0.20150,0.23402,0.24084,0.24962,0.27932,0.29729
 8 Aug 1990, 0.18392,0.22278,0.23694,0.25095,0.28158,0.29924
 9 Aug 1990, 0.17519,0.21133,0.22961,0.24936,0.28228,0.30084
10 Aug 1990, 0.17942,0.20597,0.22214,0.24536,0.28102,0.30165
11 Aug 1990, 0.17044,0.19946,0.21544,0.24145,0.27918,0.30132
12 Aug 1990, 0.16747,0.19111,0.20917,0.23746,0.27687,0.30019
13 Aug 1990, 0.17689,0.19318,0.20484,0.23333,0.27395,0.29855
14 Aug 1990, 0.17020,0.19202,0.20244,0.23091,0.27179,0.29646
15 Aug 1990, 0.16724,0.19007,0.20009,0.22850,0.26961,0.29446
16 Aug 1990, 0.17369,0.19127,0.19939,0.22781,0.26809,0.29204
17 Aug 1990, 0.16734,0.18793,0.19815,0.22748,0.26564,0.29060
18 Aug 1990, 0.16311,0.18509,0.19778,0.22577,0.26359,0.28973
19 Aug 1990, 0.15800,0.18201,0.19657,0.22345,0.26127,0.28910
20 Aug 1990, 0.17091,0.18507,0.19574,0.22154,0.25932,0.28845
21 Aug 1990, 0.17695,0.18929,0.19582,0.21886,0.25692,0.28780
22 Aug 1990, 0.16951,0.18962,0.19604,0.21652,0.25479,0.28715
23 Aug 1990, 0.16988,0.18955,0.19617,0.21484,0.25313,0.28650
24 Aug 1990, 0.16289,0.18417,0.19292,0.21154,0.25048,0.28585
25 Aug 1990, 0.15587,0.17969,0.18999,0.20866,0.24818,0.28519
26 Aug 1990, 0.16065,0.17648,0.18759,0.20635,0.24629,0.28454
27 Aug 1990, 0.15385,0.17313,0.18496,0.20381,0.24430,0.28390
28 Aug 1990, 0.14879,0.17078,0.18328,0.20225,0.24299,0.28326
29 Aug 1990, 0.14164,0.16745,0.18052,0.19957,0.24094,0.28263
30 Aug 1990, 0.14022,0.16521,0.17875,0.19789,0.23960,0.28201
31 Aug 1990, 0.13877,0.16238,0.17619,0.19537,0.23768,0.28140
 1 Sep 1990, 0.18176,0.17329,0.17616,0.19517,0.23740,0.28079
 2 Sep 1990, 0.16801,0.17551,0.17485,0.19343,0.23603,0.28020
 3 Sep 1990, 0.16980,0.17797,0.17321,0.19117,0.23429,0.27962
 4 Sep 1990, 0.17498,0.18280,0.17204,0.18914,0.23271,0.27905
 5 Sep 1990, 0.16391,0.17946,0.17073,0.18716,0.23116,0.27848
 6 Sep 1990, 0.15595,0.17456,0.16924,0.18526,0.22966,0.27792
 7 Sep 1990, 0.14890,0.17023,0.16769,0.18347,0.22824,0.27738
 8 Sep 1990, 0.14223,0.16638,0.16613,0.18177,0.22688,0.27684
 9 Sep 1990, 0.13608,0.16293,0.16459,0.18016,0.22558,0.27630
10 Sep 1990, 0.12962,0.15983,0.16310,0.17864,0.22434,0.27578
11 Sep 1990, 0.12271,0.15701,0.16167,0.17720,0.22316,0.27527
12 Sep 1990, 0.11597,0.15446,0.16030,0.17584,0.22203,0.27476
13 Sep 1990, 0.20751,0.18713,0.16023,0.17456,0.22095,0.27426
14 Sep 1990, 0.21257,0.20249,0.17373,0.17355,0.21994,0.27377
15 Sep 1990, 0.18631,0.20162,0.18506,0.17302,0.21916,0.27329
16 Sep 1990, 0.16886,0.19505,0.18938,0.17240,0.21820,0.27281
17 Sep 1990, 0.16449,0.18686,0.18793,0.17179,0.21728,0.27234
18 Sep 1990, 0.15610,0.18115,0.18408,0.17112,0.21639,0.27188
19 Sep 1990, 0.14833,0.17617,0.18054,0.17040,0.21555,0.27143
20 Sep 1990, 0.14228,0.17178,0.17730,0.16967,0.21474,0.27099
21 Sep 1990, 0.16864,0.17218,0.17448,0.16892,0.21396,0.27055
22 Sep 1990, 0.15907,0.16886,0.17190,0.16818,0.21321,0.27011
23 Sep 1990, 0.15072,0.16562,0.16951,0.16745,0.21249,0.26969
24 Sep 1990, 0.14199,0.16251,0.16730,0.16673,0.21180,0.26927
25 Sep 1990, 0.13571,0.15963,0.16526,0.16603,0.21113,0.26885
26 Sep 1990, 0.13309,0.15703,0.16337,0.16536,0.21049,0.26845
27 Sep 1990, 0.12659,0.15461,0.16162,0.16470,0.20988,0.26804
28 Sep 1990, 0.11882,0.15237,0.16001,0.16407,0.20929,0.26765
29 Sep 1990, 0.11166,0.15030,0.15851,0.16347,0.20872,0.26726
30 Sep 1990, 0.10805,0.14841,0.15713,0.16288,0.20817,0.26687
 1 Oct 1990, 0.10424,0.14669,0.15585,0.16233,0.20764,0.26649
 2 Oct 1990, 0.09874,0.14509,0.15467,0.16179,0.20713,0.26611
 3 Oct 1990, 0.09425,0.14359,0.15358,0.16129,0.20664,0.26574
 4 Oct 1990, 0.09026,0.14218,0.15256,0.16080,0.20617,0.26538
 5 Oct 1990, 0.08655,0.14086,0.15163,0.16034,0.20571,0.26502
 6 Oct 1990, 0.13918,0.14022,0.15076,0.15990,0.20527,0.26466
 7 Oct 1990, 0.13109,0.13953,0.14997,0.15948,0.20485,0.26431
 8 Oct 1990, 0.12254,0.13876,0.14923,0.15908,0.20444,0.26396
 9 Oct 1990, 0.19111,0.16082,0.14892,0.15870,0.20405,0.26362
10 Oct 1990, 0.17259,0.16826,0.14887,0.15834,0.20367,0.26328
11 Oct 1990, 0.20300,0.19064,0.15305,0.15803,0.20330,0.26294
12 Oct 1990, 0.19057,0.19770,0.16352,0.15783,0.20295,0.26261
13 Oct 1990, 0.17220,0.19320,0.16963,0.15771,0.20261,0.26228
14 Oct 1990, 0.16153,0.18493,0.16988,0.15761,0.20228,0.26196
15 Oct 1990, 0.15348,0.17881,0.16817,0.15749,0.20196,0.26164
16 Oct 1990, 0.15645,0.17395,0.16641,0.15736,0.20165,0.26132
17 Oct 1990, 0.14640,0.16958,0.16466,0.15721,0.20135,0.26101
18 Oct 1990, 0.13613,0.16563,0.16297,0.15705,0.20107,0.26070
19 Oct 1990, 0.13059,0.16212,0.16135,0.15688,0.20079,0.26040
20 Oct 1990, 0.25457,0.20407,0.17437,0.15687,0.20052,0.26009
21 Oct 1990, 0.21201,0.21309,0.19539,0.15731,0.20027,0.25979
22 Oct 1990, 0.23950,0.23044,0.20999,0.16528,0.20003,0.25950
23 Oct 1990, 0.19512,0.22391,0.21513,0.17599,0.19982,0.25920
24 Oct 1990, 0.17344,0.20980,0.21237,0.18456,0.19966,0.25891
25 Oct 1990, 0.16383,0.19354,0.20616,0.18895,0.19953,0.25863
26 Oct 1990, 0.15379,0.18524,0.19918,0.18916,0.19941,0.25834
27 Oct 1990, 0.14377,0.18030,0.19368,0.18717,0.19927,0.25806
28 Oct 1990, 0.13362,0.17576,0.18893,0.18519,0.19913,0.25778
29 Oct 1990, 0.12346,0.17163,0.18475,0.18327,0.19899,0.25751
30 Oct 1990, 0.11484,0.16790,0.18103,0.18143,0.19883,0.25723
31 Oct 1990, 0.11069,0.16453,0.17769,0.17966,0.19868,0.25696
 1 Nov 1990, 0.10704,0.16147,0.17467,0.17799,0.19852,0.25669
 2 Nov 1990, 0.10381,0.15869,0.17193,0.17640,0.19837,0.25643
 3 Nov 1990, 0.09558,0.15608,0.16943,0.17490,0.19821,0.25617
 4 Nov 1990, 0.09008,0.15364,0.16715,0.17349,0.19805,0.25591
 5 Nov 1990, 0.20405,0.18587,0.16623,0.17217,0.19789,0.25565
 6 Nov 1990, 0.17443,0.19046,0.16949,0.17099,0.19774,0.25539
 7 Nov 1990, 0.16143,0.18418,0.16917,0.16989,0.19759,0.25514
 8 Nov 1990, 0.15213,0.17816,0.16766,0.16885,0.19743,0.25489
 9 Nov 1990, 0.14459,0.17304,0.16606,0.16787,0.19729,0.25464
10 Nov 1990, 0.16256,0.17000,0.16450,0.16695,0.19714,0.25439
11 Nov 1990, 0.16021,0.16736,0.16300,0.16607,0.19700,0.25415
12 Nov 1990, 0.14844,0.16403,0.16154,0.16524,0.19685,0.25391
13 Nov 1990, 0.13657,0.16083,0.16014,0.16446,0.19672,0.25367
14 Nov 1990, 0.12518,0.15785,0.15879,0.16371,0.19658,0.25343
15 Nov 1990, 0.12726,0.15524,0.15751,0.16301,0.19645,0.25319
16 Nov 1990, 0.14823,0.15337,0.15632,0.16235,0.19632,0.25296
17 Nov 1990, 0.13595,0.15143,0.15519,0.16172,0.19619,0.25273
18 Nov 1990, 0.12519,0.14950,0.15414,0.16113,0.19607,0.25250
19 Nov 1990, 0.11532,0.14767,0.15315,0.16057,0.19594,0.25227
20 Nov 1990, 0.10573,0.14597,0.15222,0.16005,0.19583,0.25204
21 Nov 1990, 0.09707,0.14437,0.15135,0.15955,0.19571,0.25182
22 Nov 1990, 0.09233,0.14286,0.15054,0.15908,0.19560,0.25159
23 Nov 1990, 0.08271,0.14140,0.14978,0.15864,0.19549,0.25137
24 Nov 1990, 0.07372,0.13997,0.14907,0.15822,0.19538,0.25115
25 Nov 1990, 0.06474,0.13860,0.14840,0.15783,0.19527,0.25094
26 Nov 1990, 0.05563,0.13726,0.14778,0.15746,0.19517,0.25072
27 Nov 1990, 0.04662,0.13596,0.14720,0.15711,0.19507,0.25051
28 Nov 1990, 0.03762,0.13470,0.14665,0.15678,0.19497,0.25029
29 Nov 1990, 0.02792,0.13348,0.14614,0.15647,0.19488,0.25008
30 Nov 1990, 0.02302,0.13233,0.14566,0.15618,0.19478,0.24987
 1 Dec 1990, 0.02299,0.13129,0.14521,0.15591,0.19469,0.24967
 2 Dec 1990, 0.02297,0.13036,0.14479,0.15565,0.19460,0.24946
 3 Dec 1990, 0.04358,0.13010,0.14440,0.15540,0.19452,0.24926
 4 Dec 1990, 0.24665,0.18868,0.14547,0.15518,0.19443,0.24905
 5 Dec 1990, 0.19662,0.20103,0.15921,0.15506,0.19435,0.24885
 6 Dec 1990, 0.16799,0.19609,0.16826,0.15505,0.19427,0.24865
 7 Dec 1990, 0.15458,0.18544,0.16946,0.15506,0.19419,0.24845
 8 Dec 1990, 0.14162,0.17892,0.16778,0.15505,0.19412,0.24826
 9 Dec 1990, 0.12922,0.17345,0.16602,0.15502,0.19404,0.24806
10 Dec 1990, 0.11889,0.16878,0.16426,0.15497,0.19397,0.24787
11 Dec 1990, 0.22077,0.19659,0.17131,0.15500,0.19390,0.24767
12 Dec 1990, 0.18298,0.19962,0.18121,0.15519,0.19383,0.24748
13 Dec 1990, 0.16419,0.19070,0.18435,0.15544,0.19376,0.24729
14 Dec 1990, 0.15164,0.18357,0.18127,0.15562,0.19370,0.24710
15 Dec 1990, 0.13920,0.17781,0.17803,0.15572,0.19364,0.24691
16 Dec 1990, 0.12751,0.17285,0.17500,0.15577,0.19358,0.24673
17 Dec 1990, 0.12018,0.16854,0.17218,0.15576,0.19352,0.24654
18 Dec 1990, 0.11080,0.16475,0.16959,0.15573,0.19346,0.24636
19 Dec 1990, 0.09972,0.16139,0.16720,0.15566,0.19340,0.24618
20 Dec 1990, 0.10537,0.15840,0.16500,0.15557,0.19335,0.24600
21 Dec 1990, 0.09421,0.15562,0.16299,0.15547,0.19329,0.24582
22 Dec 1990, 0.08591,0.15301,0.16113,0.15535,0.19324,0.24564
23 Dec 1990, 0.07865,0.15056,0.15943,0.15522,0.19319,0.24546
24 Dec 1990, 0.06841,0.14823,0.15786,0.15509,0.19313,0.24528
25 Dec 1990, 0.05842,0.14602,0.15641,0.15496,0.19308,0.24511
26 Dec 1990, 0.04872,0.14392,0.15508,0.15482,0.19303,0.24493
27 Dec 1990, 0.04132,0.14195,0.15385,0.15468,0.19298,0.24476
28 Dec 1990, 0.03635,0.14012,0.15271,0.15454,0.19294,0.24459
29 Dec 1990, 0.03109,0.13843,0.15167,0.15441,0.19289,0.24442
30 Dec 1990, 0.02651,0.13685,0.15070,0.15427,0.19284,0.24425
31 Dec 1990, 0.02312,0.13541,0.14981,0.15414,0.19280,0.24408
 1 Jan 1991, 0.02308,0.13410,0.14899,0.15402,0.19275,0.24391
 2 Jan 1991, 0.02304,0.13292,0.14823,0.15389,0.19271,0.24375
 3 Jan 1991, 0.02301,0.13186,0.14753,0.15377,0.19267,0.24358
 4 Jan 1991, 0.02298,0.13090,0.14689,0.15366,0.19263,0.24342
 5 Jan 1991, 0.02290,0.13009,0.14630,0.15355,0.19258,0.24325
 6 Jan 1991, 0.31481,0.21304,0.16666,0.15360,0.19254,0.24309
 7 Jan 1991, 0.24823,0.23740,0.19823,0.15435,0.19257,0.24293
 8 Jan 1991, 0.19982,0.23268,0.21335,0.16357,0.19258,0.24277
 9 Jan 1991, 0.17676,0.21988,0.21680,0.17421,0.19264,0.24261
10 Jan 1991, 0.16716,0.20168,0.21343,0.18276,0.19272,0.24245
11 Jan 1991, 0.15670,0.19146,0.20704,0.18743,0.19282,0.24230
12 Jan 1991, 0.15828,0.18612,0.20077,0.18854,0.19290,0.24214
13 Jan 1991, 0.15170,0.18351,0.19721,0.18814,0.19301,0.24198
14 Jan 1991, 0.14381,0.18117,0.19460,0.18762,0.19311,0.24183
15 Jan 1991, 0.13229,0.17873,0.19210,0.18699,0.19321,0.24168
16 Jan 1991, 0.12396,0.17675,0.19018,0.18653,0.19331,0.24153
17 Jan 1991, 0.11350,0.17495,0.18846,0.18610,0.19341,0.24137
18 Jan 1991, 0.10959,0.17364,0.18728,0.18592,0.19352,0.24122
19 Jan 1991, 0.09935,0.17215,0.18592,0.18556,0.19362,0.24108
20 Jan 1991, 0.08876,0.17038,0.18446,0.18507,0.19371,0.24093
21 Jan 1991, 0.07959,0.16849,0.18304,0.18455,0.19379,0.24078
22 Jan 1991, 0.19100,0.18756,0.18298,0.18434,0.19389,0.24063
23 Jan 1991, 0.24287,0.22116,0.20139,0.18580,0.19400,0.24049
24 Jan 1991, 0.32162,0.27027,0.22980,0.20240,0.19423,0.24035
25 Jan 1991, 0.25420,0.27437,0.24602,0.22846,0.19479,0.24020
26 Jan 1991, 0.20929,0.26053,0.25572,0.24286,0.20266,0.24007
27 Jan 1991, 0.18221,0.24146,0.25388,0.25067,0.21480,0.23997
28 Jan 1991, 0.16986,0.21955,0.24565,0.25320,0.22810,0.23992
29 Jan 1991, 0.16355,0.20294,0.23429,0.25210,0.24022,0.23995
30 Jan 1991, 0.15713,0.19449,0.22355,0.24928,0.24997,0.24008
31 Jan 1991, 0.14796,0.18993,0.21512,0.24554,0.25752,0.24031
 1 Feb 1991, 0.13808,0.18894,0.20731,0.24159,0.26301,0.24062
 2 Feb 1991, 0.12858,0.18764,0.20311,0.23802,0.26664,0.24100
 3 Feb 1991, 0.11877,0.18633,0.20079,0.23523,0.26883,0.24142
 4 Feb 1991, 0.10839,0.18513,0.19944,0.23317,0.26978,0.24204
 5 Feb 1991, 0.09634,0.18391,0.19992,0.23082,0.26994,0.24277
 6 Feb 1991, 0.12117,0.18284,0.19991,0.22966,0.26962,0.24327
 7 Feb 1991, 0.19199,0.19820,0.20321,0.23062,0.26951,0.24369
 8 Feb 1991, 0.17191,0.20016,0.20597,0.23194,0.26985,0.24431
 9 Feb 1991, 0.16147,0.19363,0.20618,0.23279,0.27031,0.24524
10 Feb 1991, 0.15122,0.18954,0.20454,0.23285,0.27060,0.24637
11 Feb 1991, 0.14435,0.18810,0.20170,0.23241,0.27066,0.24751
12 Feb 1991, 0.13696,0.18667,0.20008,0.23170,0.27049,0.24852
13 Feb 1991, 0.12867,0.18533,0.19912,0.23101,0.27020,0.24932
14 Feb 1991, 0.11768,0.18411,0.19998,0.22940,0.26990,0.24990
15 Feb 1991, 0.10455,0.18320,0.19998,0.22998,0.26858,0.25025
16 Feb 1991, 0.13755,0.18231,0.19999,0.22999,0.26770,0.25058
17 Feb 1991, 0.12916,0.18148,0.19999,0.22999,0.26682,0.25088
18 Feb 1991, 0.11961,0.18075,0.19999,0.22999,0.26596,0.25116
19 Feb 1991, 0.10999,0.18013,0.19999,0.22999,0.26510,0.25143
20 Feb 1991, 0.10204,0.17962,0.19999,0.22999,0.26425,0.25167
21 Feb 1991, 0.09640,0.17905,0.19999,0.22999,0.26341,0.25190
22 Feb 1991, 0.08969,0.17840,0.19999,0.22999,0.26258,0.25211
23 Feb 1991, 0.09995,0.17801,0.19999,0.22999,0.26175,0.25230
24 Feb 1991, 0.09545,0.17757,0.20000,0.23000,0.26094,0.25248
25 Feb 1991, 0.08786,0.17701,0.20000,0.22999,0.26013,0.25264
26 Feb 1991, 0.08328,0.17640,0.19999,0.22999,0.25933,0.25278
27 Feb 1991, 0.07916,0.17577,0.19999,0.22999,0.25853,0.25291
28 Feb 1991, 0.07541,0.17512,0.20000,0.23000,0.25774,0.25303
 1 Mar 1991, 0.07197,0.17446,0.20000,0.23000,0.25695,0.25313
 2 Mar 1991, 0.06881,0.17379,0.20000,0.23000,0.25616,0.25322
 3 Mar 1991, 0.06589,0.17313,0.20000,0.23000,0.25538,0.25330
 4 Mar 1991, 0.06317,0.17247,0.20000,0.23000,0.25460,0.25337
 5 Mar 1991, 0.06063,0.17181,0.20000,0.22998,0.25384,0.25343
 6 Mar 1991, 0.05826,0.17117,0.20000,0.22990,0.25312,0.25347
 7 Mar 1991, 0.05603,0.17054,0.20000,0.22977,0.25244,0.25351
 8 Mar 1991, 0.05393,0.16992,0.20000,0.22960,0.25179,0.25353
 9 Mar 1991, 0.05194,0.16931,0.20000,0.22939,0.25118,0.25355
10 Mar 1991, 0.05007,0.16872,0.20000,0.22914,0.25059,0.25357
11 Mar 1991, 0.04829,0.16814,0.20000,0.22886,0.25003,0.25357
12 Mar 1991, 0.04660,0.16757,0.20000,0.22855,0.24949,0.25357
13 Mar 1991, 0.04500,0.16702,0.20000,0.22822,0.24897,0.25356
14 Mar 1991, 0.04347,0.16649,0.20000,0.22786,0.24847,0.25355
15 Mar 1991, 0.04446,0.16601,0.20000,0.22748,0.24799,0.25353
16 Mar 1991, 0.04397,0.16556,0.20000,0.22707,0.24752,0.25351
17 Mar 1991, 0.04252,0.16512,0.20000,0.22666,0.24706,0.25348
18 Mar 1991, 0.04115,0.16468,0.20000,0.22622,0.24662,0.25345
19 Mar 1991, 0.03983,0.16425,0.20000,0.22577,0.24619,0.25342
20 Mar 1991, 0.03857,0.16383,0.20000,0.22531,0.24577,0.25338
21 Mar 1991, 0.03736,0.16342,0.20000,0.22483,0.24536,0.25334
22 Mar 1991, 0.03621,0.16303,0.20000,0.22435,0.24496,0.25329
23 Mar 1991, 0.03510,0.16263,0.20000,0.22385,0.24457,0.25324
24 Mar 1991, 0.03404,0.16225,0.20000,0.22334,0.24418,0.25319
25 Mar 1991, 0.03302,0.16188,0.19999,0.22284,0.24380,0.25313
26 Mar 1991, 0.03204,0.16152,0.19992,0.22236,0.24343,0.25307
27 Mar 1991, 0.03110,0.16116,0.19981,0.22190,0.24307,0.25301
28 Mar 1991, 0.03020,0.16080,0.19966,0.22147,0.24271,0.25295
29 Mar 1991, 0.02933,0.16044,0.19948,0.22105,0.24236,0.25288
30 Mar 1991, 0.12265,0.16124,0.19929,0.22065,0.24201,0.25281
31 Mar 1991, 0.16766,0.16351,0.19912,0.22026,0.24168,0.25274
 1 Apr 1991, 0.16096,0.16501,0.19896,0.21989,0.24135,0.25267
 2 Apr 1991, 0.17168,0.17069,0.19891,0.21953,0.24102,0.25259
 3 Apr 1991, 0.16356,0.17231,0.19881,0.21912,0.24067,0.25252
 4 Apr 1991, 0.15663,0.17278,0.19859,0.21863,0.24028,0.25244
 5 Apr 1991, 0.15473,0.17306,0.19827,0.21805,0.23984,0.25236
 6 Apr 1991, 0.15377,0.17325,0.19794,0.21749,0.23941,0.25228
 7 Apr 1991, 0.15264,0.17317,0.19734,0.21670,0.23886,0.25219
 8 Apr 1991, 0.15161,0.17307,0.19681,0.21599,0.23835,0.25210
 9 Apr 1991, 0.15064,0.17292,0.19629,0.21530,0.23786,0.25201
10 Apr 1991, 0.14967,0.17268,0.19571,0.21459,0.23734,0.25191
11 Apr 1991, 0.14856,0.17225,0.19495,0.21371,0.23675,0.25182
12 Apr 1991, 0.14754,0.17184,0.19427,0.21293,0.23620,0.25172
13 Apr 1991, 0.14650,0.17135,0.19353,0.21210,0.23562,0.25161
14 Apr 1991, 0.14515,0.17055,0.19244,0.21093,0.23488,0.25151
15 Apr 1991, 0.17275,0.17434,0.19203,0.21033,0.23442,0.25140
16 Apr 1991, 0.16487,0.17528,0.19169,0.20978,0.23398,0.25129
17 Apr 1991, 0.15753,0.17418,0.19062,0.20854,0.23320,0.25117
18 Apr 1991, 0.15007,0.17231,0.18886,0.20666,0.23210,0.25106
19 Apr 1991, 0.14832,0.17104,0.18777,0.20548,0.23135,0.25094
20 Apr 1991, 0.14561,0.16899,0.18573,0.20338,0.23013,0.25081
21 Apr 1991, 0.14388,0.16778,0.18466,0.20226,0.22940,0.25068
22 Apr 1991, 0.14110,0.16567,0.18250,0.20008,0.22813,0.25055
23 Apr 1991, 0.13923,0.16438,0.18129,0.19886,0.22734,0.25041
24 Apr 1991, 0.13663,0.16245,0.17930,0.19685,0.22615,0.25027
25 Apr 1991, 0.13420,0.16067,0.17747,0.19501,0.22504,0.25012
26 Apr 1991, 0.17941,0.17143,0.17591,0.19310,0.22389,0.24998
27 Apr 1991, 0.19380,0.18757,0.17551,0.19090,0.22256,0.24982
28 Apr 1991, 0.17641,0.19112,0.17827,0.18962,0.22169,0.24967
29 Apr 1991, 0.16792,0.18828,0.17957,0.18890,0.22110,0.24951
30 Apr 1991, 0.16286,0.18470,0.17924,0.18832,0.22058,0.24935
 1 May 1991, 0.15679,0.17907,0.17694,0.18623,0.21927,0.24920
 2 May 1991, 0.15287,0.17565,0.17568,0.18514,0.21850,0.24903
